order_id,order_date,region,channel,product_id,product_name,category,unit_price,quantity,discount,customer_id,payment_method
O2024000001,2024-04-12,North,Online,P1005,Desk Lamp,Home Office,35.25,4,0.0,C15390,Debit Card
O2024000002,2024-04-16,South,Store,P1011,Bluetooth Speaker,Electronics,62.93,4,0.15,C15734,Credit Card
O2024000003,2024-05-01,Central,Store,P1001,Wireless Mouse,Electronics,25.63,1,0.0,C14426,Debit Card
O2024000004,2024-03-28,South,Store,P1001,Wireless Mouse,Electronics,27.21,2,0.1,C18322,Debit Card
O2024000005,2024-05-29,Central,Store,P1008,Ballpoint Pen Set,Stationery,8.31,1,0.1,C16949,Pix
O2024000006,2024-07-10,North,Marketplace,P1003,USB-C Cable,Electronics,9.8,10,0.15,C11184,Bank Transfer
O2024000007,2024-11-09,East,Online,P1004,27-inch Monitor,Electronics,189.9,2,0.2,C18666,Pix
O2024000008,2024-02-28,North,Online,P1002,Mechanical Keyboard,Electronics,80.7,2,0.0,C12047,Pix
O2024000009,2024-07-06,Central,Online,P1001,Wireless Mouse,Electronics,25.12,2,0.15,C10189,Bank Transfer
O2024000010,2024-06-23,Central,Online,P1015,Laptop Stand,Home Office,29.0,3,0.05,C11899,Credit Card
O2024000011,2024-02-24,Central,Online,P1011,Bluetooth Speaker,Electronics,58.1,10,0.1,C11528,Pix
O2024000012,2024-05-10,Central,Online,P1002,Mechanical Keyboard,Electronics,77.5,5,0.0,C18838,Debit Card
O2024000013,2024-01-21,East,Wholesale,P1014,Planner 2024,Stationery,13.41,2,0.0,C15393,Credit Card
O2024000014,2024-03-29,West,Online,P1011,Bluetooth Speaker,Electronics,59.3,8,0.2,C18433,Pix
O2024000015,2024-09-21,South,Online,P1004,27-inch Monitor,Electronics,195.6,1,0.15,C17041,Pix
O2024000016,2024-12-05,North,Store,P1003,USB-C Cable,Electronics,10.2,1,0.1,C17099,Debit Card
O2024000017,2024-09-20,South,Store,P1005,Desk Lamp,Home Office,36.67,1,0.15,C13152,Debit Card
O2024000018,2024-02-19,East,Marketplace,P1013,Coffee Mug,Lifestyle,11.66,3,0.0,C13073,Debit Card
O2024000019,2024-02-23,North,Marketplace,P1007,Notebook Pack,Stationery,12.37,2,0.0,C17989,Credit Card
O2024000020,2024-07-09,South,Wholesale,P1010,Backpack,Lifestyle,41.72,5,0.15,C15675,Pix
O2024000021,2024-06-10,South,Store,P1007,Notebook Pack,Stationery,13.13,2,0.15,C10995,Bank Transfer
O2024000022,2024-09-26,South,Online,P1004,27-inch Monitor,Electronics,195.6,3,0.15,C17629,Pix
O2024000023,2024-08-02,Central,Store,P1010,Backpack,Lifestyle,44.52,2,0.05,C17869,Pix
O2024000024,2024-10-22,South,Wholesale,P1003,USB-C Cable,Electronics,9.18,5,0.1,C17916,Bank Transfer
O2024000025,2024-12-03,North,Marketplace,P1014,Planner 2024,Stationery,14.75,2,0.0,C14887,Debit Card
O2024000026,2024-08-04,South,Marketplace,P1007,Notebook Pack,Stationery,12.62,1,0.1,C18571,Credit Card
O2024000027,2024-02-10,West,Online,P1008,Ballpoint Pen Set,Stationery,8.32,1,0.1,C10064,Pix
O2024000028,2024-12-10,Central,Marketplace,P1001,Wireless Mouse,Electronics,24.62,10,0.15,C15463,Credit Card
O2024000029,2024-05-08,Central,Marketplace,P1013,Coffee Mug,Lifestyle,11.31,1,0.15,C19687,Pix
O2024000030,2024-03-03,North,Online,P1003,USB-C Cable,Electronics,10.0,4,0.05,C16736,Credit Card
O2024000031,2024-06-11,East,Wholesale,P1013,Coffee Mug,Lifestyle,10.71,4,0.0,C15892,Credit Card
O2024000032,2024-08-18,East,Marketplace,P1009,Water Bottle,Lifestyle,15.58,3,0.1,C13099,Debit Card
O2024000033,2024-05-14,South,Online,P1003,USB-C Cable,Electronics,10.2,5,0.1,C13104,Credit Card
O2024000034,2024-02-17,Central,Online,P1001,Wireless Mouse,Electronics,25.12,2,0.0,C18996,Pix
O2024000035,2024-04-08,East,Online,P1004,27-inch Monitor,Electronics,189.9,3,0.1,C18154,Credit Card
O2024000036,2024-02-04,North,Store,P1014,Planner 2024,Stationery,15.35,2,0.0,C18110,Debit Card
O2024000037,2024-05-10,South,Store,P1009,Water Bottle,Lifestyle,16.7,4,0.0,C17385,Pix
O2024000038,2024-09-11,Central,Marketplace,P1007,Notebook Pack,Stationery,11.88,1,0.0,C16938,Debit Card
O2024000039,2024-07-25,East,Online,P1011,Bluetooth Speaker,Electronics,59.9,2,0.15,C17721,Pix
O2024000040,2024-06-27,West,Marketplace,P1008,Ballpoint Pen Set,Stationery,8.15,1,0.0,C12790,Debit Card
O2024000041,2024-08-28,South,Online,P1001,Wireless Mouse,Electronics,26.68,1,0.1,C16019,Debit Card
O2024000042,2024-08-09,Central,Online,P1002,Mechanical Keyboard,Electronics,77.5,1,0.15,C16374,Credit Card
O2024000043,2024-08-24,South,Online,P1001,Wireless Mouse,Electronics,26.68,2,0.2,C14636,Pix
O2024000044,2024-02-05,North,Store,P1005,Desk Lamp,Home Office,35.95,6,0.15,C19914,Bank Transfer
O2024000045,2024-08-30,South,Store,P1012,Webcam,Electronics,41.92,1,0.1,C19789,Bank Transfer
O2024000046,2024-05-13,South,Marketplace,P1013,Coffee Mug,Lifestyle,12.01,2,0.05,C13627,Debit Card
O2024000047,2024-12-05,North,Online,P1007,Notebook Pack,Stationery,12.62,5,0.0,C15450,Bank Transfer
O2024000048,2024-05-07,West,Store,P1012,Webcam,Electronics,40.29,4,0.0,C15592,Credit Card
O2024000049,2024-08-18,North,Store,P1006,Ergonomic Chair,Home Office,257.45,6,0.2,C11306,Credit Card
O2024000050,2024-04-30,South,Online,P1009,Water Bottle,Lifestyle,16.38,4,0.05,C15864,Debit Card
O2024000051,2024-09-15,West,Online,P1008,Ballpoint Pen Set,Stationery,8.32,1,0.0,C15575,Credit Card
O2024000052,2024-05-16,West,Marketplace,P1014,Planner 2024,Stationery,14.46,2,0.1,C10663,Credit Card
O2024000053,2024-11-10,North,Store,P1009,Water Bottle,Lifestyle,16.38,2,0.2,C11495,Credit Card
O2024000054,2024-08-20,North,Wholesale,P1014,Planner 2024,Stationery,13.54,2,0.0,C11853,Debit Card
O2024000055,2024-02-21,West,Store,P1004,27-inch Monitor,Electronics,191.76,1,0.2,C17554,Bank Transfer
